iter	Passed	Remaining
0	14	1482
1	26	1299
2	38	1229
3	48	1156
4	57	1101
5	68	1078
6	78	1049
7	89	1023
8	99	1004
9	109	982
10	118	959
11	129	949
12	140	940
13	151	933
14	162	920
15	172	905
16	182	890
17	192	875
18	202	863
19	212	851
20	222	838
21	233	828
22	244	817
23	256	812
24	267	802
25	277	790
26	287	777
27	297	766
28	307	753
29	318	742
30	328	731
31	339	720
32	348	708
33	359	697
34	370	687
35	379	675
36	390	665
37	402	655
38	411	644
39	424	636
40	437	629
41	448	620
42	464	615
43	478	608
44	491	600
45	504	591
46	514	580
47	528	572
48	541	563
49	552	552
50	564	541
51	575	531
52	586	519
53	597	508
54	610	499
55	623	489
56	637	480
57	659	477
58	677	471
59	696	464
60	710	454
61	726	445
62	739	434
63	751	422
64	763	410
65	776	400
66	789	388
67	800	376
68	811	364
69	823	352
70	834	341
71	846	329
72	856	316
73	868	305
74	879	293
75	888	280
76	898	268
77	909	256
78	920	244
79	931	232
80	941	220
81	952	208
82	961	197
83	972	185
84	982	173
85	992	161
86	1004	150
87	1014	138
88	1023	126
89	1038	115
90	1051	103
91	1064	92
92	1076	81
93	1086	69
94	1097	57
95	1107	46
96	1118	34
97	1128	23
98	1138	11
99	1148	0
