model,MAE,MSE,RMSE,MAPE,R2
XGBoost,0.0143,0.0011,0.033,11962713.7969,0.7477
ExtraTrees,0.0144,0.0012,0.0345,10586576.8271,0.7246
RandomForest,0.0146,0.0012,0.0346,10708007.9168,0.7228
LightGBM,0.0144,0.0012,0.0349,10892951.9227,0.7179
CatBoost,0.0152,0.0012,0.0352,15215277.2829,0.7128
GradientBoosting,0.0163,0.0013,0.0366,17566538.1458,0.6896
KNN,0.0168,0.0016,0.04,8553156.671,0.629
LinearRegression,0.0231,0.0018,0.0426,55749136.9611,0.5797
Ridge,0.0231,0.0018,0.0426,55707103.018,0.5797
ElasticNet,0.0229,0.0022,0.0464,49062132.05,0.5011
DecisionTree,0.0185,0.0023,0.0483,15513348.2626,0.4602
Lasso,0.0231,0.0024,0.0485,48986758.9606,0.4553
SVR,0.0466,0.0033,0.0575,231773277.2881,0.2331
AdaBoost,0.0936,0.0097,0.0984,505258125.0925,-1.2438
