feature,mean_abs_shap
precip_roll_7d,0.024272202
et0_fao_evapotranspiration,0.017303513
temp_roll_7d,0.005519725
shortwave_radiation_sum,0.004943322
precip_lag_3,0.0033910957
precip_lag_1,0.003325095
temp_lag_1,0.0028412938
wind_speed_10m_max,0.0027455804
doy_cos,0.0025855359
temp_range,0.002361403
precip_lag_7,0.001884274
doy_sin,0.0017545345
temp_roll_30d,0.0014756868
precip_roll_30d,0.0013963187
temp_lag_7,0.0012998313
temp_lag_3,0.0011654347
month_cos,0.00043890902
month_sin,0.00026150877
is_monsoon,3.982923e-05
